Ссылка;Высказывание;Ключевые слова;Счёт;;;;
https://www.mythdetector.ge/ru/myth/blizkii-kontakt-s-celovekom-ili-set-5g-otkuda-rasprostranaetsa-korona;Инфекции, вызванные коронавирусом, не распространяются по сети 5G;5G;15;;;;
https://www.who.int/ru/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters;Мобильные сети 5G НЕ СПОСОБСТВУЮТ распространению COVID-19;5G;16;;;отрицание;существование
https://www.mk.ru/social/health/2020/06/09/smi-issledovaniya-podtverdili-arbidol-pri-covid19-ne-ustupaet-favipiraviru.html;СМИ: Исследования подтвердили: Арбидол при COVID-19 не уступает фавипиравиру;авиган (фавипиравир), арбидол(умифеновир);1;;;подтверждение;
https://www.bbc.com/russian/features-52065978;В ходе испытаний в Ухане зараженные коронавирусом пациенты, получавшие авиган, выздоравливали в среднем за четыре дня.;авиган(фавипиравир);1;;;;
https://ru.wikipedia.org/wiki/COVID-19;В России против COVID-19 для применения в условиях стационара официально зарегистрирован фавипиравир[146].;авиган(фавипиравир);2;;;лекарство;
https://www.forbes.ru/obshchestvo/405295-chto-lechit-covid-19-putevoditel-po-vsem-izvestnym-metodam-borby-ot-new-york;В начале июня партнеры объявили, что «Авифавир» доказал «высокую эффективность» в качестве лекарства против COVID-19, и назвали его первым в России препаратом прямого действия против вируса.;авиган(фавипиравир);3;;;лечение;
https://www.forbes.ru/obshchestvo/405295-chto-lechit-covid-19-putevoditel-po-vsem-izvestnym-metodam-borby-ot-new-york;В то же время проведенные в Японии испытания препарата «Авиган» на основе фавипиравира не позволили однозначно доказать его эффективность при коронавирусе.;авиган(фавипиравир);4;;;;
https://www.forbes.ru/obshchestvo/405295-chto-lechit-covid-19-putevoditel-po-vsem-izvestnym-metodam-borby-ot-new-york;Фавипиравир входит в список возможных к назначению средств лечения COVID-19 российского Минздрава.;авиган(фавипиравир);5;;;;
https://gmpnews.ru/terminologiya/favipiravir/;Фавипиравир — представляет собой химическое вещество, которое используется в качестве противовирусного препарата против различных типов РНК-вирусов, в том числе и коронавируса SARS-CoV-2.;авиган(фавипиравир);6;;;;
https://gmpnews.ru/terminologiya/favipiravir/;Эффективность фавипиравира против коронавируса была доказана в рамках клинических исследований, проходившим в марте 2020 года в Китае, в городах Ухань и Шэньчжэнь.;авиган(фавипиравир);7;;;;
https://novayagazeta.ru/articles/2020/07/13/86255-favipiravir-neeffektiven-i-ochen-opasen;В конце прошлой недели появились сообщения о том, что проведенное в Японии исследование признало неэффективным в качестве лекарства от коронавирусной инфекции препарат фавипиравир. ;авиган(фавипиравир);8;;;;
https://tass.ru/obschestvo/8931843;Фавипиравир оказался неэффективен при лечении коронавирусной инфекции;авиган(фавипиравир);9;;;;
https://tass.ru/obschestvo/8931843;Японский препарат против гриппа Авиган, который основан на фавипиравире, не справился с лечением коронавирусной инфекции в ходе клинических испытаний, которые проходили в Японии.;авиган(фавипиравир);10;;;;
https://www.forbes.ru/tehnologii/399231-chem-lechat-ot-covid-19-v-rossii-i-mire-gid-po-preparatam;Китайские медики заявили, что фавипиравир оказался эффективным у пациентов с коронавирусом.;авиган(фавипиравир);11;;;;
https://www.forbes.ru/tehnologii/399231-chem-lechat-ot-covid-19-v-rossii-i-mire-gid-po-preparatam;Для лечения COVID-19 Минздрав допускает по решению врачебной комиссии применять как минимум восемь препаратов: гидроксихлорохин, хлорохин, мефлохин, азитромицин, лопинавир и ритонавир, а также интерфероны и умифеновир. ;азитромицин, арбидол(умифеновир), гидроксихлорохин, интерферон, лопинавир, мефлохин, ритонавир, хлорохин;1;;;;
https://www.mythdetector.ge/ru/myth/pocemu-zablokirovali-socialnye-seti-video-v-kotorom-utverzdaetsa-cto-koronavirus-ne-ubivaet;Было опубликовано множество подтвержденных исследований о том, что Гидроксихлорохин и Азитромицин не подходят для лечения COVID-19.;азитромицин, гидроксихлорохин;1;;;;
https://www.who.int/ru/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters;Употребление алкоголя не защищает от COVID?19 и может быть опасным;алкоголь;1;;;;
https://www.rosbalt.ru/like/2020/03/17/1833186.html;в реальности чрезмерное употребление алкоголя не только не способно «продезинфицировать» организм от коронавируса, но и повышает вероятность заболевания за счет угнетения иммунной системы.;алкоголь;2;;;;
https://www.mythdetector.ge/ru/myth/spisok-nepodtverzdennyh-metodov-protiv-kovid-19;Принятие алкоголя  не является средством предотвращения коронавируса.;алкоголь;3;;;;
https://www.youtube.com/watch?v=C1k7SjX3mt4&lc=UgxQqF7NBEVbrn7Ae7B4AaABAg.96EJ9lWKhC796K2FeSG7o5;Хоть конечно и говорят что короновирус не равнодушен к алкоголю, но это ещё не доказано.;алкоголь;4;;;;
https://www.youtube.com/watch?v=C1k7SjX3mt4&lc=UgwPiDXkUK8r-gnj_Lt4AaABAg.96C7QQiwo8o96H4RcfY6a1;Так как все бухие за пределами МКАД, короновирус нифига не грозит стране;алкоголь;5;;;;
https://news.un.org/ru/story/2020/04/1376552;И помните главное: алкоголь ни в коем случае не защитит вас от COVID-19.;алкоголь;6;;;;
https://news.un.org/ru/story/2020/04/1376552;Употребление алкоголя способствует уничтожению вируса COVID-19. ;алкоголь;7;;;;
https://www.euro.who.int/__data/assets/pdf_file/0011/438698/Alcohol-and-COVID-19-what-you-need-to-know-rus.pdf;Употребление алкоголя способствует уничтожению вируса, вызывающего COVID-19.;алкоголь;8;;;;
https://www.gazeta.ru/social/2020/03/31/13029889.shtml;В документе указано, что, по данным опроса «Трезвой России», 70% россиян считают, что потребление алкоголя снижает риск заражения коронавирусом.;алкоголь;9;;;;
https://www.gazeta.ru/social/2020/03/31/13029889.shtml;Среди россиян существует заблуждение, что алкоголь поможет в дезинфекции от коронавирусной инфекции.;алкоголь;10;;;;
https://lenta.ru/news/2020/03/31/no_alko/;Ранее Брюн заявлял, что употребление водки не поможет защититься от коронавируса. ;алкоголь;11;;;;
https://ms.detector.media/manipulyatsii/post/24640/2020-05-07-eshche-odin-vrach-iz-italii-rekomenduet-lechit-covid-19-vodkoi-no-ne-pit-ee-a-vdykhat-jeto-pomozhet/;Еще один «врач из Италии» рекомендует лечить COVID-19 водкой – но не пить ее, а вдыхать.;алкоголь;12;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/faq/;Напротив, употребление алкоголя и сигарет упрощает заражение коронавирусом.;алкоголь, курение;1;;;;
https://www.gazeta.ru/social/2020/06/01/13103275.shtml;К новой группе риска по коронавирусу можно отнести пьющих и курящих людей, считают врачи.;алкоголь, курение;2;;;;
https://ntinews.ru/in_progress/likbez/chem-lechitsya-ot-koronavirusa-obzor-rossiyskikh-i-zarubezhnykh-preparatov.html;Рекомендации вызвали негодование врачей, поскольку во всем мире еще нет доказавшей свою эффективность профилактической терапии коронавирусной инфекции, а в России уже предлагают принимать Анаферон.;анаферон;1;;;;
https://ntinews.ru/in_progress/likbez/chem-lechitsya-ot-koronavirusa-obzor-rossiyskikh-i-zarubezhnykh-preparatov.html;В конце марта Департамент здравоохранения Москвы выпустил рекомендации, согласно которым в качестве профилактики короновирусной инфекции рекомендовал использовать: Кагоцел, Анаферон, Эргоферон.;анаферон, кагоцел, эргоферон;1;;;;
https://www.asi.org.ru/news/2020/03/24/doveritelnii-interval-effektivnoi-profilaktiki-covid-19-ne-sushestvuet/;противовирусное действие эргоферона и анаферона на сезонные коронавирусы человека, вызывающие ОРВИ, имеет доказательную базу;анаферон, эргоферон;1;;;;
https://ntinews.ru/in_progress/likbez/chem-lechitsya-ot-koronavirusa-obzor-rossiyskikh-i-zarubezhnykh-preparatov.html;В документе отмечалось, что противовирусное действие Анаферона и Эргоферона на сезонные коронавирусы человека, «имеет доказательную базу».;анаферон, эргоферон;2;;;;
https://vk.com/covid19#utm_source=vk&utm_medium=cpc&utm_campaign=web_left_nav;Новый коронавирус не лечится антибиотиками.;антибиотики;1;;;;
https://xn--80aesfpebagmfblc0a.xn--p1ai/about-covid/#myths;Новый коронавирус — это вирус, и, следовательно, антибиотики не следует использовать для профилактики и лечения коронавирусной инфекции.;антибиотики;2;;;;
https://www.bbc.com/russian/features-52065978;Антибиотики против коронавируса бесполезны.;антибиотики;3;;;;
https://www.who.int/ru/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters;Новый коронавирус (2019-nCoV) – это вирус, и, следовательно, антибиотики не следует использовать для профилактики и лечения коронавирусной инфекции.;антибиотики;4;;;;
https://www.who.int/ru/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters;Тем не менее, пациентам, госпитализированным с инфекцией 2019-nCoV, могут назначаться антибиотики для лечения сопутствующих бактериальных инфекций.;антибиотики;5;;;;
https://24.kg/obschestvo/158788_antibiotiki_pri_koronaviruse_zaiprotiv/;В начале пандемии люди массово начали скупать антибиотики, веря в то, что они помогут при лечении COVID-19.;антибиотики;6;;;;
https://24.kg/obschestvo/158788_antibiotiki_pri_koronaviruse_zaiprotiv/;Тем не менее на днях директор Бишкекского научно-исследовательского центра травматологии и ортопедии Сабырбек Джумабеков распространил видеообращение в социальных сетях и призвал граждан принимать антибиотики с первых дней появления симптомов COVID-19.;антибиотики;7;;;;
https://24.kg/obschestvo/158788_antibiotiki_pri_koronaviruse_zaiprotiv/;Медики предупредили: антибиотики убивают бактерии, но они не лечат вирус, а лекарства от коронавируса в стране еще нет.;антибиотики;8;;;;
https://www.gazeta.uz/ru/2020/07/17/medicines/;Как раз для лечения последствий к-вируса и выписывают антибиотики.;антибиотики;9;;;;
https://vk.com/wall-193059638_1030;В регионах продолжается снятие ограничений, которые вводились в связи с коронавирусом и регулярное использование антисептика становится особенно актуально.;антисептик;1;;;;
https://www.forbes.ru/tehnologii/399231-chem-lechat-ot-covid-19-v-rossii-i-mire-gid-po-preparatam;Но в середине апреля китайские специалисты из медицинского университета Гуанчжоу после испытания арбидола на 86 пациентах с протеканием болезни в легкой и средней форме пришли к выводу, что все-таки препарат неэффективен против нового вируса и имеет побочные эффекты.;арбидол(умифеновир);1;;;;
https://www.forbes.ru/tehnologii/399231-chem-lechat-ot-covid-19-v-rossii-i-mire-gid-po-preparatam;Умифеновир применяется у пациентов с COVID-19, однако отсутствуют доказательства его эффективности и безопасности;арбидол(умифеновир);2;;;;
https://kubnews.ru/obshchestvo/2020/04/23/uchenye-otsenili-effektivnost-arbidola-pri-lechenii-covid-19/;Из рекламы, распространявшейся в эфире радиостанций, следовало, что «Арбидол» обладает терапевтической эффективностью против коронавируса COVID-2019.;арбидол(умифеновир);3;;;;
https://www.rbc.ru/society/10/03/2020/5e67a0089a7947824ea6e37e;В ведомстве отметили, что в инструкции по применению «Арбидола» отсутствует информация о его способности бороться с COVID-19.;арбидол(умифеновир);4;;;;
https://yandex.ru/q/question/health/kitai_ofitsialno_priznal_arbidol_protiv_e82c2d2f/?answer_id=9e68d140-5cb1-4b20-9c4a-2de9010e426b#9e68d140-5cb1-4b20-9c4a-2de9010e426b;Да, Китай на полном серьёзе собирается лечить коронавирус Арбидолом – фейковым лекарством, которое используется только в России.;арбидол(умифеновир);5;;;;
https://prmira.ru/article/govoryat-chto-v-bolnitsah-koronavirus-lechat-kagotselom-i-arbidolom-rasskazyivaem-chto-tut-ne-tak/;Говорят, что в больницах коронавирус лечат «Кагоцелом» и «Арбидолом».;арбидол(умифеновир), кагоцел;1;;;;
https://www.forbes.ru/tehnologii/399231-chem-lechat-ot-covid-19-v-rossii-i-mire-gid-po-preparatam;В феврале Национальная комиссия по здравоохранению КНР включила арбидол, лопинавир+ритонавир, а также ряд других препаратов в список рекомендованных препаратов для противовирусной терапии при COVID-19.;арбидол(умифеновир), лопинавир, ритонавир;1;;;;
https://kubnews.ru/obshchestvo/2020/04/23/uchenye-otsenili-effektivnost-arbidola-pri-lechenii-covid-19/;Китайские ученые пришли к выводу, что противовирусный препарат «Арбидол», а также комбинация лекарств лопинавира и ритонавира не являются эффективными средствами для лечения пациентов с коронавирусом.;арбидол(умифеновир), лопинавир, ритонавир;2;;;;
https://www.dw.com/ru/v-evrope-obnaruzheny-sluchai-povtornogo-zarazhenija-koronavirusom/a-54692316;В Бельгии и Нидерландах выявлены пациенты с повторным заражением коронавирусом.;Бельгия, Нидерланды, реинфицирование;1;;;;
https://www.dw.com/ru/v-evrope-obnaruzheny-sluchai-povtornogo-zarazhenija-koronavirusom/a-54692316;Вирусологи в Бельгии и Нидерландах сообщили во вторник, 25 августа, о случаях повторного заражения коронавирусом в этих странах.;Бельгия, Нидерланды, реинфицирование;2;;;;
https://aif.ru/society/science/kazalos_by_pri_chyom_tut_bill_geyts_taynye_versii_proishozhdeniya_covid-19;Например, видеоблогера Джордан Сатер, которая заявляла, что вспышка COVID-19 — это инструмент контроля численности населения, созданный британским институтом Пирбрайта и миллиардером Биллом Гейтсом.;Билл Гейтс;1;;;;
https://medialeaks.ru/3101lug-bill-vinovat/;Коронавирус — собственность Билла Гейтса;Билл Гейтс;2;;;;
https://medialeaks.ru/3101lug-bill-vinovat/;Коллеги Сазера — администраторы портала для сторонников теории заговоров Infowars — тоже считают, что Гейтс замешан в появлении уханьского коронавируса. ;Билл Гейтс;3;;;;
https://www.bbc.com/russian/features-53107570;Сторонники теории заговора - в данном случае те, кто обвиняет бывшего главу компании Microsoft Билла Гейтса в том, что это именно он устроил пандемию коронавируса, ;Билл Гейтс;4;;;;
https://tk.media/analytics/bezumnye-teorii-o-koronaviruse-bill-geyts-hlorka-natoschak-i-korporatsiya-umbrella-2020-03-03;Коронавирус создан Биллом Гейтсом;Билл Гейтс;5;;;;
https://tk.media/analytics/bezumnye-teorii-o-koronaviruse-bill-geyts-hlorka-natoschak-i-korporatsiya-umbrella-2020-03-03;Злополучный слух гласит, что Фонд Билла и Мелинды Гейтс спонсировал разработку коронавируса COVID-19;Билл Гейтс;6;;;;
https://www.bbc.com/russian/features-53107570;ничем не подкрепленных теорий заговора, согласно которым некие темные силы под предводительством Билла Гейтса устроили пандемию, чтобы получить астрономическую прибыль от продажи вакцины.;Билл Гейтс;7;;;;
https://www.rbc.ru/rbcfreenews/5f1a83579a794740dd829f4a;Основатель и экс-глава корпорации Microsoft Билл Гейтс опроверг конспирологические теории, обвиняющие его в причастности к пандемии коронавируса;Билл Гейтс;8;;;;
https://www.rbc.ru/rbcfreenews/5f1a83579a794740dd829f4a;Гейтс напомнил, что его фонд пожертвовал большую сумму денег на борьбу с пандемией коронавируса.;Билл Гейтс;9;;;;
https://www.facebook.com/INFOX.ru/posts/3922250314514172/;Основатель Microsoft Билл Гейтс высказался ослухах, согласно которым он якобы хочет чипировать людей под предлогом прививок от коронавируса.;Билл Гейтс;10;;;;
https://ura.news/news/1052450506;Также Гейтс считает, что многие вакцины от коронавируса могут быть небезопасны из-за спешки при разработке и испытаниях.;Билл Гейтс, вакцина;1;;;;
https://vctr.media/gates-ne-vinovat-40264/;По мнению некоторых, Гейтс создал COVID-19, чтобы заработать на вакцине. ;Билл Гейтс, вакцина;2;;;;
https://eadaily.com/ru/news/2020/08/10/bill-geyts-bolshinstvo-amerikanskih-testov-na-covid-19-eto-polnaya-chush;Билл Гейтс: Большинство американских тестов на Covid-19 — это полная чушь;Билл Гейтс, тест, США;1;;;;
https://rg.ru/2020/04/22/reg-urfo/akademik-ran-rasskazal-mozhno-li-schitat-covid-19-biologicheskim-oruzhiem.html;Открывший в 1983 году Люк Монтанье и получивший за это Нобелевскую премию недавно высказался, что у SARS-n-CоV-2 искусственная структура, и что вирус похож на биологическое оружие, потому что в его коде есть вставка, как у ВИЧ первого типа.;биологическое оружие;1;;;;
https://perm.aif.ru/health/pravda_li_chto_novyy_koronavirus_eto_bakteriologicheskoe_oruzhie;Говорят, что вирус COVID-19  мог быть разработан в лаборатории в качестве биологического оружия.;биологическое оружие;2;;;;
https://perm.aif.ru/health/pravda_li_chto_novyy_koronavirus_eto_bakteriologicheskoe_oruzhie;Эту точку зрения, что коронавирус может быть бакоружием, сейчас активно обсуждают. ;биологическое оружие;3;;;;
https://regnum.ru/news/polit/2889869.html;Эксперт опроверг искусственное происхождение коронавируса;биологическое оружие;4;;;;
https://regnum.ru/news/polit/2889869.html;По мнению эксперта, новый коронавирус не мог быть создан искусственно, его происхождение природное.;биологическое оружие;5;;;;
https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%81%D0%BF%D0%B8%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D0%B8_%D0%BE_%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D0%B8_COVID-19#%D0%9A%D0%BE%D0%BD%D1%81%D0%BF%D0%B8%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D0%B8_%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D0%B8;утверждается, что вирус COVID-19 является частью китайской программы по разработке биологического оружия, реализованной в Уханьском институте вирусологии (WIV);биологическое оружие, Китай;1;;;;
https://aif.ru/society/science/kazalos_by_pri_chyom_tut_bill_geyts_taynye_versii_proishozhdeniya_covid-19;Самая популярная гипотеза: новый коронавирус был создан по заказу китайского правительства в рамках государственной программы по разработке биологических видов вооружений.;биологическое оружие, Китай;2;;;;
https://radiokp.ru/podcast/goryacho-kholodno/12553;Коронавирус мог вырваться из секретной лаборатории, где создавали биологическое оружие для Китая;биологическое оружие, Китай;3;;;;
https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%81%D0%BF%D0%B8%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D0%B8_%D0%BE_%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D0%B8_COVID-19#%D0%9A%D0%BE%D0%BD%D1%81%D0%BF%D0%B8%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D0%B8_%D0%BF%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D0%B8;утверждающих, что вирус является биологическим оружием, разработанным ЦРУ, а США ведёт экономическую войну с Китаем, используя вирус;биологическое оружие, США;1;;;;
https://tk.media/analytics/bezumnye-teorii-o-koronaviruse-bill-geyts-hlorka-natoschak-i-korporatsiya-umbrella-2020-03-03;Коронавирус — биологическое оружие США;биологическое оружие, США;2;;;;
https://tk.media/analytics/bezumnye-teorii-o-koronaviruse-bill-geyts-hlorka-natoschak-i-korporatsiya-umbrella-2020-03-03;Не размениваясь на истории о супе из летучих мышей, лидер российской партии ЛДПР Владимир Жириновский зашел сразу с козырей — версии о том, что коронавирус является провокацией США в торговой войне с Китаем.;биологическое оружие, США, Китай;1;;;;
https://www.kommersant.ru/doc/4373039?from=author_tech#id1907822;И действительно, есть обратная корреляция между смертностью от COVID-19 и наличием прививки от туберкулеза в детстве. ;БЦЖ;1;;;;
https://ru.wikipedia.org/wiki/COVID-19;В отсутствие доказательств возможной защиты от COVID-19 ВОЗ не рекомендует применение вакцины БЦЖ для предотвращения COVID-19;БЦЖ;2;;;;
https://www.bbc.com/russian/features-52220500;Есть версия, что прививка БЦЖ дает иммунитет против Covid-19.;БЦЖ;3;;;;
https://www.bbc.com/russian/features-52220500;И почему-то коронавирус - во всяком случае на первый взгляд - проявляет значительно меньшую активность в странах, где детей в обязательном порядке прививают от туберкулеза при помощи вакцины БЦЖ, в том числе и в России.;БЦЖ;4;;;;
https://www.bbc.com/russian/features-52220500;Занимающиеся исследованиями медики говорят, что наличие БЦЖ у конкретного человека совершенно точно не дает ему иммунитета от нового вируса.;БЦЖ;5;;;;
https://www.bbc.com/russian/features-52220500;Наши данные дают основания предполагать, что вакцинация БЦЖ, по-видимому, значительно снижает смертность, связанную с Covid-19;БЦЖ;6;;;;
https://www.bbc.com/russian/features-52220500;По их подсчетам, число инфицированных на душу населения в странах с обязательной вакцинацией от туберкулеза ниже примерно в десять раз, а жертв Covid-19 - в 20 раз меньше, чем там, где БЦЖ больше не делают.;БЦЖ;7;;;;
https://www.bbc.com/russian/features-52220500;Таким образом, вакцинация БЦЖ не может дать специфического защитного иммунитета против коронавируса, однако возможно неспецифическое защитное воздействие вследствие активации системы врожденного иммунитета;БЦЖ;8;;;;
https://www.youtube.com/watch?v=ILjQAU6VkAw&lc=UgyVSmuJe3LHY2_plDt4AaABAg.971odMNJFJ4972GBRHgLyi;"В Восточной Германии заражаются коронавирусом в десять раз меньше, чнм в Западной Германии. Возможно это по причине того, что в советском ""блоке"" всем была принудительная вакцинация от туберкулёза, так что выработался общий иммунитет.";БЦЖ;9;;;;
https://www.youtube.com/watch?v=ILjQAU6VkAw&lc=UgyVSmuJe3LHY2_plDt4AaABAg.971odMNJFJ4973D8NKXVVj;Прививка от туберкулёза спасает от коронавируса: ;БЦЖ;10;;;;
https://www.gazeta.ru/science/news/2020/05/19/n_14438635.shtml;Израильские ученые пришли к выводу, что сделанная в детстве вакцина БЦЖ (прививка против туберкулеза) не уменьшает риск заражения коронавирусом нового типа. ;БЦЖ;11;;;;
https://www.gazeta.ru/science/news/2020/05/19/n_14438635.shtml;Таким образом, данная работа демонстрирует, что вакцинация БЦЖ в детском возрасте не защищает от коронавируса.;БЦЖ;12;;;;
https://www.gazeta.ru/science/news/2020/05/19/n_14438635.shtml;Результаты показали, что люди со сделанной прививкой БЦЖ и невакцинированные заражались COVID-19 примерно с одинаковой частотой. ;БЦЖ;13;;;;
https://www.interfax.ru/russia/703383;Эксперт заявил, что действенность вакцины от туберкулеза против COVID-19 не доказана;БЦЖ;14;;;;
https://www.gazeta.ru/science/news/2020/05/19/n_14438635.shtml;Израильские ученые опровергли действие прививки БЦЖ против COVID-19;БЦЖ;15;;;;
https://vk.com/covid19#utm_source=vk&utm_medium=cpc&utm_campaign=web_left_nav;Вакцины против пневмонии не защищают от нового коронавируса.;вакцина;1;;;;
https://www.bbc.com/russian/features-52065978;Действующая вакцина от коронавируса совершенно точно НЕ появится раньше, чем через год-полтора, к середине-концу 2021 г.;вакцина;2;;;;
https://meduza.io/feature/2020/06/05/v-rossii-lekarstva-ot-koronavirusa-regulyarno-ispytyvayut-narushaya-eticheskie-normy-i-vozmozhno-zakon-vot-chetyre-glavnye-problemy;2 июня появилась информация о том, что вакцину от коронавируса испытывают на «военнослужащих-добровольцах».;вакцина;3;;;;
https://meduza.io/feature/2020/05/08/ischerpyvayuschiy-nu-pochti-putevoditel-meduzy-po-vsemu-chto-uzhe-izvestno-o-vaktsinah-protiv-covid-19-kogda-gde-i-kakimi-oni-budut;На 30 апреля 2020 года сотрудникам Всемирной организации здравоохранения (ВОЗ) известно о 102 кандидатах в антикоронавирусные вакцины;вакцина;4;;;;
https://meduza.io/feature/2020/05/08/ischerpyvayuschiy-nu-pochti-putevoditel-meduzy-po-vsemu-chto-uzhe-izvestno-o-vaktsinah-protiv-covid-19-kogda-gde-i-kakimi-oni-budut;в список ВОЗ попали далеко не все компании, которые пытаются создать «волшебную пилюлю» против COVID-19.;вакцина;5;;;;
https://meduza.io/feature/2020/05/08/ischerpyvayuschiy-nu-pochti-putevoditel-meduzy-po-vsemu-chto-uzhe-izvestno-o-vaktsinah-protiv-covid-19-kogda-gde-i-kakimi-oni-budut;Скорее всего, инактивированная вакцина к SARS-CoV-2 будет вызывать слабый иммунный ответ.;вакцина;6;;;;
https://meduza.io/feature/2020/05/08/ischerpyvayuschiy-nu-pochti-putevoditel-meduzy-po-vsemu-chto-uzhe-izvestno-o-vaktsinah-protiv-covid-19-kogda-gde-i-kakimi-oni-budut;Учитывая все вышеизложенное, вакцину от COVID-19 не имеет смысла ждать раньше чем через 12–18 месяцев. ;вакцина;7;;;;
https://telegra.ph/Rossijskaya-vakcina-i-vozmozhnye-posledstviya-08-11;Я так понимаю, что фазы испытаний вакцины по проверке ее способности предотвращать инфекцию коронавирусом и не вызывать осложнений при встрече с инфекцией коронавируса на добровольцах не планируется.;вакцина;8;;;;
https://telegra.ph/Rossijskaya-vakcina-i-vozmozhnye-posledstviya-08-11;Очень многие экспериментальные вакцины к коронавирусам как к альфа так и бета вызывают эту неприятность.;вакцина;9;;;;
